"","gs","gene","symbol"
"ENSMUSG00000041912","C-LTMR","ENSMUSG00000041912","Tdrkh"
"ENSMUSG00000028137","C-LTMR","ENSMUSG00000028137","Celf3"
"ENSMUSG00000015711","C-LTMR","ENSMUSG00000015711","Prune1"
"ENSMUSG00000015697","C-LTMR","ENSMUSG00000015697","Setdb1"
"ENSMUSG00000015748","C-LTMR","ENSMUSG00000015748","Prpf3"
"ENSMUSG00000027859","C-LTMR","ENSMUSG00000027859","Ngf"
"ENSMUSG00000052539","C-LTMR","ENSMUSG00000052539","Magi3"
"ENSMUSG00000045576","C-LTMR","ENSMUSG00000045576","St7l"
"ENSMUSG00000074346","C-LTMR","ENSMUSG00000074346","Kcnd3os"
"ENSMUSG00000040896","C-LTMR","ENSMUSG00000040896","Kcnd3"
"ENSMUSG00000056145","C-LTMR","ENSMUSG00000056145","AI504432"
"ENSMUSG00000009108","C-LTMR","ENSMUSG00000009108","Gnat2"
"ENSMUSG00000027883","C-LTMR","ENSMUSG00000027883","Gpsm2"
"ENSMUSG00000044667","C-LTMR","ENSMUSG00000044667","Plppr4"
"ENSMUSG00000039701","C-LTMR","ENSMUSG00000039701","Usp53"
"ENSMUSG00000050315","C-LTMR","ENSMUSG00000050315","Synpo2"
"ENSMUSG00000050549","C-LTMR","ENSMUSG00000050549","Fam241a"
"ENSMUSG00000027994","C-LTMR","ENSMUSG00000027994","Mcub"
"ENSMUSG00000040943","C-LTMR","ENSMUSG00000040943","Tet2"
"ENSMUSG00000074206","C-LTMR","ENSMUSG00000074206","Adh6b"
"ENSMUSG00000037033","C-LTMR","ENSMUSG00000037033","Clca3b"
"ENSMUSG00000039037","C-LTMR","ENSMUSG00000039037","St6galnac5"
"ENSMUSG00000090017","C-LTMR","ENSMUSG00000090017","Gm16213"
"ENSMUSG00000028360","C-LTMR","ENSMUSG00000028360","Slc44a5"
"ENSMUSG00000028249","C-LTMR","ENSMUSG00000028249","Sdcbp"
"ENSMUSG00000049488","C-LTMR","ENSMUSG00000049488","Tmem67"
"ENSMUSG00000028228","C-LTMR","ENSMUSG00000028228","Cpne3"
"ENSMUSG00000028246","C-LTMR","ENSMUSG00000028246","Faxc"
"ENSMUSG00000040270","C-LTMR","ENSMUSG00000040270","Bach2"
"ENSMUSG00000028294","C-LTMR","ENSMUSG00000028294","Cfap206"
"ENSMUSG00000046593","C-LTMR","ENSMUSG00000046593","Tmem215"
"ENSMUSG00000036062","C-LTMR","ENSMUSG00000036062","Phf24"
"ENSMUSG00000028452","C-LTMR","ENSMUSG00000028452","Vcp"
"ENSMUSG00000028458","C-LTMR","ENSMUSG00000028458","Tesk1"
"ENSMUSG00000087142","C-LTMR","ENSMUSG00000087142","Gm12454"
"ENSMUSG00000028463","C-LTMR","ENSMUSG00000028463","Car9"
"ENSMUSG00000035572","C-LTMR","ENSMUSG00000035572","Dcaf10"
"ENSMUSG00000028333","C-LTMR","ENSMUSG00000028333","Anp32b"
"ENSMUSG00000066191","C-LTMR","ENSMUSG00000066191","Anks6"
"ENSMUSG00000028347","C-LTMR","ENSMUSG00000028347","Tmeff1"
"ENSMUSG00000063446","C-LTMR","ENSMUSG00000063446","Plppr1"
"ENSMUSG00000048706","C-LTMR","ENSMUSG00000048706","Lurap1l"
"ENSMUSG00000062627","C-LTMR","ENSMUSG00000062627","Mysm1"
"ENSMUSG00000028571","C-LTMR","ENSMUSG00000028571","Cyp2j13"
"ENSMUSG00000034919","C-LTMR","ENSMUSG00000034919","Ttc22"
"ENSMUSG00000028617","C-LTMR","ENSMUSG00000028617","Lrrc42"
"ENSMUSG00000034762","C-LTMR","ENSMUSG00000034762","Glis1"
"ENSMUSG00000047155","C-LTMR","ENSMUSG00000047155","Cyp4x1"
"ENSMUSG00000003810","C-LTMR","ENSMUSG00000003810","Mast2"
"ENSMUSG00000060268","C-LTMR","ENSMUSG00000060268","Armh1"
"ENSMUSG00000028542","C-LTMR","ENSMUSG00000028542","Slc6a9"
"ENSMUSG00000028541","C-LTMR","ENSMUSG00000028541","B4galt2"
"ENSMUSG00000028629","C-LTMR","ENSMUSG00000028629","Exo5"
"ENSMUSG00000028656","C-LTMR","ENSMUSG00000028656","Cap1"
"ENSMUSG00000085562","C-LTMR","ENSMUSG00000085562","2610028E06Rik"
"ENSMUSG00000042500","C-LTMR","ENSMUSG00000042500","Ago4"
"ENSMUSG00000041000","C-LTMR","ENSMUSG00000041000","Trim62"
"ENSMUSG00000028785","C-LTMR","ENSMUSG00000028785","Hpca"
"ENSMUSG00000040928","C-LTMR","ENSMUSG00000040928","S100pbp"
"ENSMUSG00000028909","C-LTMR","ENSMUSG00000028909","Ptpru"
"ENSMUSG00000028809","C-LTMR","ENSMUSG00000028809","Srrm1"
"ENSMUSG00000076123","C-LTMR","ENSMUSG00000076123","Mir700"
"ENSMUSG00000037188","C-LTMR","ENSMUSG00000037188","Grhl3"
"ENSMUSG00000066037","C-LTMR","ENSMUSG00000066037","Hnrnpr"
"ENSMUSG00000036940","C-LTMR","ENSMUSG00000036940","Kdm1a"
"ENSMUSG00000043411","C-LTMR","ENSMUSG00000043411","Usp48"
"ENSMUSG00000041120","C-LTMR","ENSMUSG00000041120","Nbl1"
"ENSMUSG00000020220","C-LTMR","ENSMUSG00000020220","Vps13d"
"ENSMUSG00000028977","C-LTMR","ENSMUSG00000028977","Casz1"
"ENSMUSG00000044700","C-LTMR","ENSMUSG00000044700","Tmem201"
"ENSMUSG00000014592","C-LTMR","ENSMUSG00000014592","Camta1"
"ENSMUSG00000005045","C-LTMR","ENSMUSG00000005045","Chd5"
"ENSMUSG00000029033","C-LTMR","ENSMUSG00000029033","Acap3"
"ENSMUSG00000040351","C-LTMR","ENSMUSG00000040351","Ankib1"
"ENSMUSG00000001467","C-LTMR","ENSMUSG00000001467","Cyp51"
"ENSMUSG00000044674","C-LTMR","ENSMUSG00000044674","Fzd1"
"ENSMUSG00000040464","C-LTMR","ENSMUSG00000040464","Gtpbp10"
"ENSMUSG00000073234","C-LTMR","ENSMUSG00000073234","Fam237b"
"ENSMUSG00000057541","C-LTMR","ENSMUSG00000057541","Pus7"
"ENSMUSG00000048703","C-LTMR","ENSMUSG00000048703","Speer4b"
"ENSMUSG00000010721","C-LTMR","ENSMUSG00000010721","Lmbr1"
"ENSMUSG00000075703","C-LTMR","ENSMUSG00000075703","Selenoi"
"ENSMUSG00000073102","C-LTMR","ENSMUSG00000073102","Drc1"
"ENSMUSG00000062372","C-LTMR","ENSMUSG00000062372","Otof"
"ENSMUSG00000058754","C-LTMR","ENSMUSG00000058754",NA
"ENSMUSG00000093490","C-LTMR","ENSMUSG00000093490","Gm19932"
"ENSMUSG00000045790","C-LTMR","ENSMUSG00000045790","Ccdc149"
"ENSMUSG00000029188","C-LTMR","ENSMUSG00000029188","Slc34a2"
"ENSMUSG00000090138","C-LTMR","ENSMUSG00000090138","Gm3687"
"ENSMUSG00000068082","C-LTMR","ENSMUSG00000068082","Grxcr1"
"ENSMUSG00000029212","C-LTMR","ENSMUSG00000029212","Gabrb1"
"ENSMUSG00000029228","C-LTMR","ENSMUSG00000029228","Lnx1"
"ENSMUSG00000029231","C-LTMR","ENSMUSG00000029231","Pdgfra"
"ENSMUSG00000029238","C-LTMR","ENSMUSG00000029238","Clock"
"ENSMUSG00000029236","C-LTMR","ENSMUSG00000029236","Nmu"
"ENSMUSG00000091204","C-LTMR","ENSMUSG00000091204","Exoc1l"
