"","Gene","Condition","Type"
"600","Fhl1","V","B"
"601","Nebl","V","B"
"602","Pfn1","V","B"
"603","Septin2","V","B"
"604","Dock7","V","B"
"605","Cltc","V","B"
"606","Hadha","V","B"
"607","Acin1","V","B"
"608","Cdc42ep4","V","B"
"609","Npm1","V","B"
"610","Hspe1","V","B"
"611","Rpl34","V","B"
"612","Parva","V","B"
"613","Nck1","V","B"
"614","Jpt2","V","B"
"615","Tomm20","V","B"
"616","Nme1","V","B"
"617","Cfl1","V","B"
"618","Dclk1","V","B"
"619","Hsd17b11","V","B"
"620","Ahcyl1","V","B"
"621","Septin9","V","B"
"622","Anxa7","V","B"
"623","Srrm1","V","B"
"624","Tubb5","V","B"
"625","Eef1a1","V","B"
"626","Ckb","V","B"
"627","Cr1l","V","B"
"628","Slc9a3r1","V","B"
"629","Mpz","V","B"
"630","Arl15","V","B"
"631","Asrgl1","V","B"
"632","Pkn2","V","B"
"633","Pag1","V","B"
"634","Krt17","V","B"
"635","Prpf4b","V","B"
"636","Safb2","V","B"
"637","Pgk1","V","B"
"638","Lpp","V","B"
"639","Eno1","V","B"
"640","Plp1","V","B"
"641","Git1","V","B"
"642","Dbi","V","B"
"643","Dpysl4","V","B"
"644","Tbc1d10a","V","B"
"645","Shtn1","V","B"
"646","Slc16a1","V","B"
"647","Jup","V","B"
"648","Rps10","V","B"
"649","Cat","V","B"
"650","Aaas","Ox","A"
"651","Aacs","Ox","A"
"652","Aamdc","Ox","A"
"653","Aars1","Ox","A"
"654","Aatk","Ox","A"
"655","Abat","Ox","A"
"656","Abcc5","Ox","A"
"657","Abce1","Ox","A"
"658","Abcf1","Ox","A"
"659","Abcf2","Ox","A"
"660","Abcf3","Ox","A"
"661","Abhd10","Ox","A"
"662","Abhd12","Ox","A"
"663","Abhd6","Ox","A"
"664","Abi1","Ox","A"
"665","Abi2","Ox","A"
"666","Ablim1","Ox","A"
"667","Ablim2","Ox","A"
"668","Ablim3","Ox","A"
"669","Abraxas2","Ox","A"
"670","Abtb2","Ox","A"
"671","Acaa1a","Ox","A"
"672","Acadvl","Ox","A"
"673","Acap2","Ox","A"
"674","Acbd3","Ox","A"
"675","Acbd6","Ox","A"
"676","Acly","Ox","A"
"677","Acot7","Ox","A"
"678","Acp1","Ox","A"
"679","Acsl3","Ox","A"
"680","Acsl4","Ox","A"
"681","Acsl6","Ox","A"
"682","Actn4","Ox","A"
"683","Actr10","Ox","A"
"684","Actr2","Ox","A"
"685","Acyp2","Ox","A"
"686","Adam22","Ox","A"
"687","Adnp","Ox","A"
"688","Adprh","Ox","A"
"689","Adrm1","Ox","A"
"690","Adsl","Ox","A"
"691","Afdn","Ox","A"
"692","Aff4","Ox","A"
"693","Aftph","Ox","A"
"694","Ag2","Ox","A"
"695","Agap1","Ox","A"
"696","Agap3","Ox","A"
"697","Agfg2","Ox","A"
"698","Agpat1","Ox","A"
"699","Agpat4","Ox","A"
"700","Ahcyl2","Ox","A"
"701","Ahsa1","Ox","A"
"702","Ahsa2","Ox","A"
"703","Aifm1","Ox","A"
"704","Aimp1","Ox","A"
"705","Aimp2","Ox","A"
"706","Aip","Ox","A"
"707","Ak1","Ox","A"
"708","Ak3","Ox","A"
"709","Akap1","Ox","A"
"710","Akap10","Ox","A"
"711","Akap13","Ox","A"
"712","Akap2","Ox","A"
"713","Akap8","Ox","A"
"714","Akap9","Ox","A"
"715","Akr1b1","Ox","A"
"716","Akt3","Ox","A"
"717","Aktip","Ox","A"
"718","Alg13","Ox","A"
"719","Alkbh3","Ox","A"
"720","Alkbh6","Ox","A"
"721","Alyref","Ox","A"
"722","Amer2","Ox","A"
"723","Amer3","Ox","A"
"724","Amn1","Ox","A"
"725","Amotl1","Ox","A"
"726","Anapc1","Ox","A"
"727","Anapc4","Ox","A"
"728","Ank1","Ox","A"
"729","Ank2","Ox","A"
"730","Ank3","Ox","A"
"731","Ankfy1","Ox","A"
"732","Ankle2","Ox","A"
"733","Ankrd13a","Ox","A"
"734","Ankrd13d","Ox","A"
"735","Ankrd17","Ox","A"
"736","Ankrd40","Ox","A"
"737","Ankrd49","Ox","A"
"738","Ankrd52","Ox","A"
"739","Ano10","Ox","A"
"740","Ano8","Ox","A"
"741","Anp32e","Ox","A"
"742","Anxa11","Ox","A"
"743","Anxa7","Ox","A"
"744","Aox1","Ox","A"
"745","Ap1b1","Ox","A"
"746","Ap1g1","Ox","A"
"747","Ap1s2","Ox","A"
"748","Ap2a1","Ox","A"
"749","Ap2a2","Ox","A"
"750","Ap2b1","Ox","A"
"751","Ap2m1","Ox","A"
"752","Ap2s1","Ox","A"
"753","Ap3b2","Ox","A"
"754","Ap3d1","Ox","A"
"755","Ap3m1","Ox","A"
"756","Ap3s2","Ox","A"
"757","Ap4e1","Ox","A"
"758","Apba1","Ox","A"
"759","Apbb1","Ox","A"
"760","Apbb1ip","Ox","A"
"761","Apc","Ox","A"
"762","Apc2","Ox","A"
"763","Api5","Ox","A"
"764","Aplf","Ox","A"
"765","Appl1","Ox","A"
"766","Aqp1","Ox","A"
"767","Arap1","Ox","A"
"768","Arcn1","Ox","A"
"769","Arf4","Ox","A"
"770","Arf5","Ox","A"
"771","Arf6","Ox","A"
"772","Arfgap2","Ox","A"
"773","Arfgap3","Ox","A"
"774","Arfgef1","Ox","A"
"775","Arfgef2","Ox","A"
"776","Arfgef3","Ox","A"
