"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Nup50",53082.1914804513,53747.5059436717,54903.9516590348,60890.5039814258
"Sec24a",9436.72032831285,13116.5662755828,12984.1032638761,11474.0910066957
"Commd3",14823.9,NA,NA,NA
"Ccdc124",32053.6170240906,24695.6623147912,34402.3070516232,24529.5605921456
"Ap3b2",137893.74314106,136706.118823055,127654.626237145,141502.927054886
"Ppp6r2",35435.8694840355,35666.2133114362,38566.3099117686,34342.6769756525
"Tigar",260598.398413768,276147.911135614,287157.747480726,274092.48704629
"Nolc1",9239.10122720309,10647.3289672869,11333.9433297593,16145.8329153451
"Sf3b1",155281.169241545,158535.40688286,131610.888449929,141670.15353343
"Igbp1",124219.91765871,121721.195370088,109696.079869291,122344.231101523
"Ctnnd2",13027.3670837612,11886.1903970721,NA,12286.3791031083
"Rplp1",36224.4,29480.3,18522.9,39641.4
"Chmp4b",623550.776616972,688414.050683643,584452.039456314,548410.35700026
"Stxbp1",175147.497799384,192154.242599574,168985.07199609,156399.099512257
"Rpl14",1519422.36125564,1401465.39226207,1271032.06843943,1298070.9445186
"Fus",566471.792260102,546552.421520399,542787.598012745,548309.207301344
"Eif4g3",88931.9252781936,85788.3539411778,72822.0149671722,80658.5878379323
"Phb",25719.6666317607,20793.9684939565,21904.4983273143,29682.7443731316
"Erc1",19949.0891552096,17356.8303945618,18054.6699200911,19785.9688973937
"Exoc3",25974.2074600111,29217.2862267267,27201.4006210344,28641.6761181932
"Eml4",26612.6796909131,19524.2224154358,43931.4688648001,22399.1765417958
"Dpysl3",265226.47749308,292068.90676651,242713.326312882,240709.653760879
"Plec",263154.767708991,276551.327429686,256030.876763077,267601.231652704
"Pcp4l1",530032.279521404,469018.399333716,551193.869794228,308504.885160612
"Synm",855108.846837848,886800.626353442,775888.3993761,809430.908455529
"Hars1",34937.5353923171,24045.3514568517,26097.2148461653,25348.8238860806
"TurboID",6380921.29660878,7051224.56491171,5697763.60451804,7184905.66469875
"Cplx2",230097.432945927,224850.84828141,91947.0509052542,259396.278819348
"Snrnp200",34563.126830871,28406.8549196392,32638.1548019483,40103.1765637249
"Ube2o",61115.7157338541,61542.2343042872,62333.6392509383,48851.8697026629
"Calcoco1",13955.9135910517,13969.8796771386,16067.9999998685,15926.6809565062
"Ppp2r5b",46191.8569184591,48438.0791705371,55396.0217508118,46130.5530843746
"Amph",216341.010918209,240356.028464043,208136.284293551,212147.40298881
"Huwe1",55790.43882543,53892.8271397272,61255.8263559348,57913.6148483038
"Ptpn23",42726.3161421086,41813.4327796494,42850.0413308889,45474.0686306988
"Rps25",82992.9718735218,78725.900792782,80921.2396536862,102475.477702367
"Aspscr1",29007.7521982056,35905.1939327175,35202.6962333269,32407.5931561163
"Dffa",37737.1857504438,35424.1925747766,36573.7223916352,31515.7007306004
"Eif4g1",169253.672286065,186664.827385678,168837.08033632,164366.973939327
"Acsl4",50729.0968637173,59681.7935268028,64184.605506505,60967.0074390991
"Akap13",65491.0792565513,64357.7530782841,67076.876323373,60517.7934184625
"Tln1",82935.4539060263,82866.327779265,85011.9062146694,81031.4178469439
"Nefh",2367631.76922874,2677488.2011277,2085416.14058254,2098425.582655
"Jup",29922.8061251416,30095.4186455025,28015.4915977325,32974.3678614361
"Cpt1c",38960.3419833396,36355.7352421554,33550.4554842177,28680.2887389754
"Cdv3",180389.278855374,204506.242383959,173039.971282061,175513.089706301
"Habp4",102012.034445301,110666.670479033,82997.4828334352,143845.33017369
