,logFC,AveExpr,t,P.Value,adj.P.Val,B
Noc2l,-1.399028972,12.49885544,-8.606144434,3.61E-07,1.36E-05,6.776605456
Aldh18a1,-0.65875389,17.67156607,-8.600249212,3.64E-07,1.36E-05,6.767793876
Gys1,-0.577910569,15.64214492,-8.594466688,3.67E-07,1.37E-05,6.759146562
Nosip,-0.604329613,14.03492383,-8.561463622,3.85E-07,1.43E-05,6.709713593
Picalm,-0.544273199,16.46960812,-8.51439089,4.13E-07,1.52E-05,6.638972094
App,-0.724490564,15.92995625,-8.512571797,4.14E-07,1.52E-05,6.636232789
Spryd7,0.584983202,15.55920736,8.49269846,4.26E-07,1.56E-05,6.606279318
Zdhhc17,0.682158643,16.24238988,8.484044412,4.32E-07,1.57E-05,6.593220325
Ascc3,-0.979456174,13.04087062,-8.480218243,4.34E-07,1.57E-05,6.587443631
Fmo1,0.732369951,16.57498125,8.476820514,4.36E-07,1.57E-05,6.58231225
Slc7a2,0.887405022,15.24204074,8.475843977,4.37E-07,1.57E-05,6.580837178
Nrdc,-0.527329628,14.98825372,-8.470075276,4.41E-07,1.57E-05,6.572121043
Pdlim1,-1.209499088,16.29999839,-8.466111285,4.43E-07,1.57E-05,6.56612929
Ubr3,-0.687356495,14.5271965,-8.459495492,4.48E-07,1.58E-05,6.556124823
Itgb8,-0.738664415,14.45903401,-8.433881457,4.65E-07,1.64E-05,6.517339172
Jakmip1,0.649541531,14.21660943,8.426609052,4.70E-07,1.65E-05,6.506312006
Chd8,-0.875278561,13.47988921,-8.380516924,5.03E-07,1.75E-05,6.436267338
Ncor2,-0.693240081,14.90972402,-8.373693655,5.08E-07,1.76E-05,6.425875444
Pitpnm2,0.588062397,15.50144796,8.331935456,5.41E-07,1.86E-05,6.362148899
Trio,-0.486751529,14.63990291,-8.331519931,5.41E-07,1.86E-05,6.361513662
Rbm22,-0.480442042,14.10158955,-8.292602678,5.74E-07,1.96E-05,6.301921261
Zfand5,-1.102536947,13.83230782,-8.2857212,5.80E-07,1.97E-05,6.291363876
Stat2,-0.669062841,15.02927164,-8.252214785,6.10E-07,2.07E-05,6.239872872
Srxn1,-0.861275879,15.36330687,-8.238224773,6.23E-07,2.10E-05,6.21833126
Puf60,-0.49174804,16.04991687,-8.197945403,6.62E-07,2.22E-05,6.156169679
Esf1,-1.151978188,13.06543378,-8.171838283,6.88E-07,2.30E-05,6.115768327
Bop1,-0.68242367,13.69635261,-8.167406168,6.93E-07,2.31E-05,6.108900824
Rimkla,0.826719913,14.56423886,8.140259263,7.22E-07,2.39E-05,6.066781834
Hcn1,-0.691895933,14.34093882,-8.13916689,7.23E-07,2.39E-05,6.065085006
Chtop,-0.780424138,15.38477779,-8.133202764,7.30E-07,2.39E-05,6.055817964
Clip4,0.652080729,13.59158464,8.13022816,7.33E-07,2.39E-05,6.051194317
Ptk7,-0.844150569,14.3559166,-8.128872341,7.34E-07,2.39E-05,6.049086488
Mcam,-0.766582365,16.51926719,-8.122926569,7.41E-07,2.40E-05,6.039840067
Serpina3n,-0.924581247,15.27718965,-8.120504948,7.44E-07,2.40E-05,6.036072834
Nptxr,-0.896207321,14.66072598,-8.117155436,7.48E-07,2.40E-05,6.030860863
Map1b,-0.581588804,20.16146121,-8.116590658,7.48E-07,2.40E-05,6.029981904
