"","GeneID","X170_SCN_T_m_4","X175_SCN_T_f_5","X177_SCN_T_f_6","X178_SCN_T_m_1","X181_SCN_T_m_3","X197_SCN_T_f_1","X171_SCN_T_f_2","X183_SCN_T_m_2","X185_SCN_T_f_4","X187_SCN_T_f_3","X173_SCN_TC_f_1","X174_SCN_TC_m_5","X182_SCN_TC_m_3","X186_SCN_TC_m_4","X191_SCN_TC_f_3","X193_SCN_TC_m_2","X194_SCN_TC_m_1","X199_SCN_TC_f_2","X189_SCN_TC_f_6","X198_SCN_TC_f_4","X201_SCN_TC_f_5","X195_SCN_TC_m_6"
"88","Akr7a2",7755.94,6018.46,7229.1,NA,4737.95,7611.13,7047.25,NA,8311.86,8212.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Akt1",2729.37,3085.97,5398.86,NA,NA,6086.32,NA,5140.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Akt2",NA,NA,2771.766531,3119.354908,NA,3028.145611,3830.860384,7547.368794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Akt2;Akt3",9697.74,8716.27,9400.55,6632.04,5094.33,10768.1,11770.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Akt3",NA,6386.394552,4232.137541,11860.46464,5189.275976,5647.571448,4175.11242,NA,4305.155137,4647.416961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Alad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6138.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Alb",379157.713,300761.7235,311675.1881,339261.124,421500.8516,380758.2713,298806.224,380457.1111,317247.858,293890.158,44439.20987,50304.24537,39809.20891,45680.25129,44776.30419,47025.80622,50786.7686,41063.53791,41748.0131,47067.16677,50843.24414,40261.79395
"95","Alcam",11093.94994,NA,9977.329397,6563.184427,NA,7633.292124,8127.253158,NA,6147.666891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Aldh1a1",NA,NA,20048.8,NA,12175.9,19235.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Aldh2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16998.40383,NA,NA,1407.00934,NA,NA,NA,NA,NA,NA,NA
"98","Aldh3a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12209.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Aldh6a1",NA,NA,1081.34,NA,4486.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Aldh9a1",12693.79784,9591.28028,9321.011482,11696.30749,9864.895769,8868.03408,11274.93696,10133.28107,15939.60554,14163.98932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Aldoa",25196.68373,21277.32015,20863.3022,20940.30685,24466.73834,23388.15896,19806.87898,18207.02196,21014.37845,25611.49339,10946.72152,116036.0497,7731.878785,14324.48234,5678.03375,9884.764013,10928.96308,8002.439832,6483.597577,7634.841672,9252.769506,11279.91333
"102","Aldoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9007.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Alg6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64213.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Alkbh3",37043.76892,36224.96965,36530.63602,36656.70061,44306.05555,38551.67951,36710.13201,39358.60803,38986.41094,39758.77603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Alkbh6",8216.74,15017.7,18673.6,14123.2,8446.14,NA,10991.3,8953.24,17255.4,12274.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Alpk2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45185.7,NA,46673.3,NA,NA,61629.4,70563.8,NA,37116,NA,NA,78553.9
"107","Amer2",87540.10109,87529.85448,86149.35391,73374.38544,66468.53274,80046.67869,97325.02237,75938.53754,92083.61575,88496.30273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Amn1",10037.78591,14731.22734,17024.54844,12789.70439,12337.66469,15005.21642,12387.99796,8820.749681,8366.730833,15416.57973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Ampd2",100494.2204,110077.3995,106899.6589,122937.8972,98408.76196,117897.5247,108306.2735,109633.3321,111756.2359,107013.0089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Ampd3",20169.48697,26074.59428,27819.05677,25424.78623,21397.29036,25826.11548,23308.6826,18052.9948,25880.47955,24271.33823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Amph",122661.5171,133771.5851,134753.7638,167766.1984,158647.7033,139207.2816,116677.0271,121611.3281,119751.8141,138770.5303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Amph;Bin1",90951.81825,102605.9591,135682.7479,137303.6122,106283.0829,125700.2527,127921,67629.3298,122733,108434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Ank1",287546.9458,276895.9457,278472.9706,305792.5066,292563.2949,260661.0527,274875.5092,270696.9059,283833.5405,269532.408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Ank1;Ank3",27721.9,39286.6,47396.2,43557,51070.5,NA,40932.1,40492.2,52692.7,32691.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Ank2",69638.24253,70618.84503,65491.80653,70309.89109,67665.42884,67713.13404,69768.65037,61843.8722,74238.45923,69748.39887,4989.682242,2740.813037,NA,7341.13516,NA,NA,NA,NA,NA,NA,NA,1213.65069
"116","Ank2;Ank3",124209.1328,91379.38699,108556.6895,112412.5171,136557.2407,112977.9838,102643.2752,108736.6588,97552.95259,107186.8821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Ank3",215192.404,182699.562,202782.9503,255089.2554,254583.6821,212595.2077,198157.0144,220186.6048,202787.2593,190081.343,9495.274392,6419.187934,10674.23629,16047.80894,4263.432899,6751.517519,7831.578697,5125.922125,8726.075205,10104.53678,4253.459787,7555.787751
"118","Ankle2",10714.0231,13736.27689,10671.01992,11135.32431,6844.724794,7117.220066,7303.376945,9804.692439,8789.219336,7345.658023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
