"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Grb14",NA,46008.4,55196.1
"Sart3",115075.010834335,99815.1869761189,98451.1770459922
"Fkbp5",38782.4123819112,36570.0668822505,38124.4441180588
"Myo6",183392.278499226,190186.767727462,163778.386065664
"Myl6",14906.50809023,16314.2753713612,12300.9990369206
"Slk",35528.5185112603,38788.8722087155,40254.2711213083
"Ubr4",16403.9704940094,8013.32095802914,8753.51412957255
"Nono",215388.85567045,230340.258515453,196062.896136758
"Abi1",29378.5545724034,30551.5912682571,28904.2759012646
"Gorab",NA,23645.6,19355.5
"Cap1",53346.4942494976,41425.6235396539,40236.9019859306
"Mvp",44969.3528482639,41605.529972149,44579.1392985543
"Sh3bp4",8100.1,12294.9,20983.2
"Psma7",15581.3069621746,12870.2017759779,17726.2357249799
"Glod4",66270.8128313848,65016.8593627251,62481.9347695724
"Vti1b",73450.3965059385,67959.2849135259,62267.1279563565
"Phf24",70954.9054387647,68002.2904487409,53295.7398554154
"Srp68",87516.1449514476,104339.922710877,93614.9369534049
"Tomm34",17348.2636563686,13329.3214235498,8800.32527526874
"Strn",121165.308740429,114570.990110144,119481.431509672
"Smarcc2",25159.5344596136,24214.167488386,27092.8733241417
"Pgam1",125941.605339538,84427.1206954583,112213.132199095
"Depdc5",15180.3160700469,17797.7526289082,18236.5464648628
"Ppm1g",21975.1716370025,23346.9186038846,22245.7247968364
"Cct6a",20302.361163875,16744.988931792,19299.0522718801
"Hgs",20331.6289752932,17721.7778070851,12884.1159367208
"Borcs6",17749.5480121565,20274.8253588258,24317.6531127007
"Chmp1a",11810.9921225337,19140.6353296351,17466.0579240926
"Snx1;Snx2",NA,38929.8,35690.3
"Scfd1",37017.6627412366,34540.118566692,35828.2649752024
"Hsd17b11",NA,NA,13277.6
"Irs2",22726.4030515485,18925.5132060819,26293.4820180654
"Srgap3",44295.6344847783,47139.5652356635,46559.1184012102
"Thop1",67070.8403455922,65946.7127415827,57252.4057729634
"Tubb3;Tubb4b;Tubb6",NA,57079.7,32373.5
"Tubb5",55347.1520249169,10132.670807194,11733.2630278763
"Bcl2l2",7517.59000000001,9514.69,NA
"Sptbn1",32126.7220095722,32271.4444176541,30005.7234394166
"Rpl14",542003.611187759,572432.350097796,635827.062816458
"Trim56",20530.8221036329,22438.7218027212,17377.8398120495
"Epdr1",20956.4441784883,10461.5545960724,11523.715446307
"Pcm1",10620.141683358,8872.02684445038,10859.3112246667
"Sh3gl1",15655.3033911604,15779.0014336408,13918.6384792102
"Sh3gl2",28750.5092198925,22088.838783387,15583.0809546802
"Bcar1",31926.0763015413,37306.2673940395,33552.4901123244
"Nefl",782068.331050519,850101.941985893,758885.98279674
"Lmnb1",23082.1873100084,22632.9448134416,21728.8516585044
"Pak1;Pak2",17988.3868478433,8715.47277126547,6977.64838825534
"Dgkh",41703.0120133077,42284.5030160131,34249.0944826405
"Itsn2",12929.8050272985,15257.0551115956,18684.6237407191
"Itsn1",24137.5347126985,26650.3198617197,25812.2596037409
"Camsap3",29121.4918069126,22512.4466577633,27121.4998031519
"Vps28",9041.09,11774,15129.7
"Syt6",37095.1507315629,43917.0006932859,38313.3015265182
"Rrbp1",73669.5922420934,72498.6798467327,65586.5948609333
"Anxa6",177833.56700104,187062.062634814,161212.817619653
"Nmt2",32574.1521692644,27198.6585347203,37193.9770153444
"Psmc3",330649.523091903,383638.076853973,321879.843945067
"Hs1bp3",46539.8143581534,52907.8513147133,50920.2669899558
