Genes,log2FC(S2/P1),q value
PFDN1,0.854767101,0.000425322
PLCD1,1.643544119,0.000428188
ACTN2,-4.372470625,0.000428779
NDRG3,1.779938096,0.000429487
SEPTIN9,-1.482524997,0.000430586
HOOK3,-0.794999888,0.000432952
SRRT,-2.035070132,0.00043413
MAPK12,2.166807539,0.000437046
H2-K1,0.803034078,0.000440397
LSG1,2.317735339,0.000441404
MRPL2,-2.823565515,0.000441404
NQO1,2.162760726,0.000443474
HSP90AB1,0.607353312,0.000444489
ATP6V1C1,0.887224143,0.00045258
TMED7,-1.416781588,0.000456124
RDX,-0.672414035,0.000456568
ALG5,-2.743284385,0.000460335
RPL19,-3.644852278,0.00046349
UPF1,-1.102618194,0.000463667
PSMD3,0.665016892,0.000466066
TIMM10,5.026642429,0.000466517
TRDN,-1.93482587,0.000469475
COL18A1,-4.053377784,0.000469475
HSPB6,2.366090151,0.000469475
NPM1,-2.806058195,0.000469475
AAMDC,2.126974141,0.000469475
SERPINA10,1.680373855,0.000469475
PECR,-1.899185883,0.000469475
SUCLG2,1.4895878,0.000469475
LAMC1,-1.732767507,0.000470089
AHSG,2.000083024,0.000470383
MIPEP,-1.15448646,0.000472217
CBX5,-2.864587217,0.000473215
OGT,-1.081488988,0.000476239
CHIT1,2.542502641,0.000477359
KRT1,-3.845896551,0.000477964
DPY30,2.883388951,0.000477964
EIF3D,-2.573651454,0.000478324
NCL,-3.391684374,0.000478806
PFN1,2.202111771,0.000478806
LARS2,-0.66127524,0.000478806
GPKOW,-3.676156831,0.000484378
RPL7,-3.562834128,0.000486022
PTRHD1,1.959373212,0.000488722
TIPRL,1.553603579,0.000488722
GDPD3,-4.397057168,0.000488722
GSS,2.339361146,0.000494609
SYPL2,2.307853764,0.000495706
RPL22,-3.380722667,0.000496454
SF3B2,-1.636523607,0.000496454
TUFM,-1.392970404,0.000497845
ELN,-4.25085276,0.000501648
CYRIB,1.619785268,0.000501648
MVK,2.037885981,0.000501648
SPARC,1.430975013,0.00050346
PRPF40A,-3.775528552,0.000504508
FN1,-0.887728027,0.000505233
DYNC1I2,0.837097832,0.000505604
SERPINB5,2.26164791,0.000510623
MRPL16,-1.665735465,0.000511543
GRCC10,2.069522708,0.000511947
MCUR1,-1.625638215,0.000512941
APRT,1.935886545,0.000514049
FNTA,2.766899916,0.000514049
LEMD3,-2.941260508,0.000514049
HEXB,-2.07868959,0.000519696
XPOT,2.325378497,0.000520753
AGL,1.841561896,0.000521466
MYH4,-5.169227146,0.000522127
ARPC1B,-1.672194881,0.000522415
EPS8,-2.35441155,0.000523764
HSPB11,2.932073315,0.000523764
GFUS,1.593231717,0.00052523
NFIX,-6.052924678,0.000526817
PKP1,-11.31285784,0.000526978
